"hid","act","subsidy","age","literate","voucher","stratum"
"1719",0,1,36,1,0,"22"
"1720",0,0,49,0,0,"21"
"1721",0,0,65,1,0,"22"
"1721",0,0,65,1,0,"22"
"1726",1,1,25,1,1,"21"
"1728",0,1,32,1,0,"22"
"1731",1,1,25,0,1,"23"
"1744",0,1,28,1,0,"21"
"1755",0,1,57,0,0,"19"
"1760",0,1,71,0,0,"17"
"1761",0,1,36,1,0,"24"
"1763",1,1,32,0,1,"23"
"1764",0,1,25,1,0,"22"
"1768",0,1,19,0,1,"21"
"1770",1,1,37,1,0,"23"
"1771",0,1,44,1,0,"18"
"1774",0,0,26,0,0,"23"
"1777",0,1,37,1,0,"22"
"1777",0,1,37,1,0,"22"
"1780",0,1,19,0,1,"17"
"1788",0,1,51,1,0,"21"
"1789",0,0,45,0,0,"24"
"1791",1,1,32,1,1,"21"
"1791",1,1,32,1,1,"21"
"1793",0,1,NA,0,0,"23"
"1796",0,0,61,0,0,"19"
"1799",0,0,28,1,0,"22"
"1811",0,1,35,0,0,"21"
"1819",1,1,60,1,0,"23"
"1820",0,1,18,1,0,"19"
"1822",1,1,55,NA,1,"23"
"1822",1,1,55,NA,1,"23"
"1823",0,1,50,0,0,"18"
"1828",1,0,19,1,0,"22"
"1830",0,0,25,0,0,"21"
"1835",1,0,26,1,0,"21"
"1835",1,0,26,1,0,"21"
"1837",0,0,27,1,0,"21"
"1841",0,1,32,1,0,"21"
"1846",0,1,50,1,0,"20"
"1848",1,1,26,1,0,"24"
"1853",0,1,25,1,0,"22"
"1857",0,0,28,1,0,"22"
"1858",1,1,48,0,0,"21"
"1859",0,0,36,1,0,"22"
"1864",1,1,24,1,1,"24"
"1871",1,1,22,1,0,"22"
"1876",0,0,45,1,0,"21"
"1880",0,1,20,0,0,"22"
"2001",0,1,49,0,0,"14"
"2001",0,1,49,0,0,"14"
"2004",0,0,31,1,0,"14"
"2005",0,1,23,1,0,"14"
"2009",0,1,29,1,0,"14"
"2018",0,1,40,1,0,"15"
"2018",0,1,40,1,0,"15"
"2021",0,1,65,0,0,"15"
"2022",0,1,30,1,0,"13"
"2029",1,0,31,1,0,"13"
"2029",1,0,31,1,0,"13"
"2029",0,0,31,1,0,"13"
"2029",0,0,31,1,0,"13"
"2029",0,0,31,1,0,"13"
"2031",0,1,NA,0,0,"9"
"2036",0,1,45,0,0,"10"
"2046",0,1,27,1,0,"13"
"2046",1,1,27,1,1,"13"
"2047",0,1,34,1,0,"13"
"2056",0,1,30,1,0,"13"
"2058",1,1,26,1,1,"13"
"2059",1,1,NA,0,1,"9"
"2072",0,0,40,0,0,"9"
"2072",0,0,40,0,0,"9"
"2081",0,1,39,0,0,"13"
"2082",1,1,42,1,0,"13"
"2084",NA,1,NA,0,NA,"9"
"2097",0,1,42,0,0,"14"
"2105",0,1,21,1,0,"15"
"2111",0,1,45,0,0,"15"
"2111",0,1,45,0,0,"15"
"2116",0,0,19,1,0,"15"
"2116",0,0,19,1,0,"15"
"2120",0,1,NA,0,1,"11"
"2122",NA,0,52,0,NA,"15"
"2128",NA,1,19,1,NA,"10"
"2141",0,0,61,0,0,"15"
"2144",0,0,23,0,0,"14"
"2154",0,0,NA,0,0,"13"
"2159",1,1,18,1,0,"14"
"2162",1,1,25,1,1,"14"
"2163",1,1,26,0,0,"14"
"2164",0,0,71,0,0,"14"
"2165",0,1,46,1,0,"14"
"2168",0,1,32,1,1,"13"
"2170",0,1,48,0,0,"13"
"2173",0,1,35,0,0,"14"
"2188",0,1,NA,0,1,"13"
"2189",0,1,39,1,0,"13"
"2192",0,1,54,0,0,"14"
"2193",0,1,52,1,0,"14"
"2195",0,1,NA,0,0,"13"
"2201",1,1,42,1,1,"13"
"2214",0,0,48,1,0,"14"
"2218",0,0,NA,0,0,"9"
"2243",0,1,27,1,0,"16"
"2244",0,1,42,0,0,"16"
"2246",0,1,NA,0,0,"16"
"2248",0,0,28,1,0,"16"
"2249",0,0,28,1,0,"16"
"2253",0,1,82,0,0,"16"
"2255",0,1,NA,0,0,"16"
"2258",1,1,28,1,1,"15"
"2265",1,1,42,1,1,"16"
"2267",0,0,52,1,1,"16"
"2276",1,0,28,1,0,"16"
"2283",0,0,35,1,0,"16"
"2283",0,0,35,1,0,"16"
"2287",1,1,23,1,0,"15"
"2291",0,0,20,1,0,"13"
"2293",0,0,23,0,0,"13"
"2299",1,1,24,1,0,"13"
"2305",1,1,32,1,1,"13"
"2321",0,1,47,0,0,"15"
"2322",0,1,45,0,0,"15"
"2325",0,1,52,0,0,"15"
"2335",0,0,21,1,0,"15"
"2340",1,1,37,1,0,"14"
"2341",0,1,43,1,0,"13"
"2344",1,1,55,1,1,"16"
"2350",NA,1,33,1,NA,"13"
"2362",0,1,49,1,0,"14"
"2366",0,0,40,1,0,"14"
"2367",0,0,27,0,0,"14"
"2371",0,1,61,1,0,"10"
"2380",0,1,29,1,0,"14"
"2381",NA,0,NA,0,NA,"14"
"2395",0,1,35,1,0,"13"
"2395",0,1,35,1,0,"13"
"2397",0,0,32,0,0,"13"
"2399",1,1,47,0,1,"13"
"2406",0,1,27,0,0,"15"
"2412",1,1,21,1,1,"13"
"2413",0,1,43,1,0,"13"
"2433",1,1,35,0,1,"14"
"2437",0,1,46,1,0,"14"
"2440",NA,1,34,1,NA,"13"
"2446",1,1,29,1,1,"15"
"2453",NA,1,62,1,NA,"15"
"2463",1,1,19,1,1,"15"
"2467",0,0,86,0,0,"13"
"2476",0,1,29,1,0,"14"
"2478",0,0,20,1,1,"14"
"2482",0,0,32,1,0,"14"
"2485",0,1,30,1,0,"14"
"2488",0,1,31,1,0,"15"
"2495",0,1,23,1,1,"14"
"2498",NA,1,57,0,NA,"14"
"2500",0,1,30,1,0,"14"
"2501",NA,1,47,1,NA,"14"
"2539",0,1,22,1,0,"14"
"2545",0,0,25,1,1,"15"
"2551",1,1,46,1,0,"15"
"2556",0,1,40,1,0,"15"
"2566",0,1,20,1,0,"11"
"2575",0,1,24,1,0,"16"
"2580",0,0,56,0,0,"16"
"2581",0,1,25,1,0,"16"
"2585",NA,1,25,1,NA,"16"
"2587",1,1,23,1,0,"16"
"2592",0,0,28,0,0,"15"
"2592",0,0,28,0,0,"15"
"2595",0,1,22,1,0,"11"
"2600",0,1,39,1,0,"16"
"2604",0,1,57,0,0,"16"
"2612",1,1,38,1,0,"15"
"2615",0,0,37,1,0,"16"
"2622",0,1,20,1,0,"16"
"2628",0,1,24,1,0,"12"
"2633",0,0,27,0,0,"12"
"2633",0,0,27,0,0,"12"
"2633",0,0,27,0,0,"12"
"2639",0,1,75,0,0,"16"
"2653",0,1,40,1,0,"16"
"2653",0,1,40,1,0,"16"
"2661",1,1,26,0,0,"16"
"2661",1,1,26,0,0,"16"
"2664",0,0,28,1,0,"15"
"2668",0,1,NA,0,0,"16"
"2671",1,1,25,1,0,"16"
"2672",0,1,20,1,0,"16"
"2682",0,0,49,0,0,"16"
"2691",0,1,22,1,0,"16"
"2693",0,0,32,1,0,"16"
"2695",0,1,26,1,0,"12"
"2695",0,1,26,1,0,"12"
"2708",0,1,44,0,0,"16"
"2708",0,1,44,0,0,"16"
"2712",0,1,22,0,1,"16"
"2714",0,1,24,1,0,"12"
"2714",0,1,24,1,0,"12"
"2714",0,1,24,1,1,"12"
"2725",0,0,81,0,1,"11"
"2727",0,1,41,0,0,"15"
"2728",1,1,30,0,1,"16"
"2731",0,1,40,0,1,"11"
"2740",0,1,31,0,0,"16"
"2777",0,1,28,1,0,"15"
"2782",0,1,21,1,0,"10"
"2786",0,1,72,0,0,"15"
"2787",0,0,20,0,0,"11"
"2787",0,0,20,0,0,"11"
"2807",1,1,23,1,1,"13"
"2820",0,1,65,0,0,"16"
"2824",0,1,60,0,0,"16"
"2826",0,0,18,0,0,"16"
"2830",1,0,56,1,0,"15"
"2837",1,1,42,1,0,"13"
"2845",0,0,42,1,0,"13"
"2848",0,1,71,0,0,"13"
"2850",0,0,NA,0,0,"10"
"2853",0,1,44,0,0,"14"
"2859",0,0,21,1,0,"12"
"2860",0,1,45,1,0,"16"
"2876",0,1,59,0,0,"15"
"2888",0,0,30,1,0,"15"
"2891",1,1,44,1,0,"15"
"2894",0,0,34,1,0,"16"
"2895",1,0,32,1,0,"16"
"2896",1,1,27,1,0,"16"
"2914",1,1,51,1,1,"13"
"2917",0,1,NA,0,0,"13"
"2918",0,1,35,1,0,"13"
"2920",0,0,20,1,1,"13"
"2920",0,0,20,1,1,"13"
"2922",0,1,24,0,0,"13"
"2926",0,1,52,0,0,"13"
"2944",NA,1,NA,1,NA,"12"
"2953",0,1,24,1,0,"14"
"2956",0,1,47,0,0,"15"
"2958",1,1,52,1,1,"15"
"2960",0,1,65,0,1,"15"
"2971",0,1,27,1,1,"16"
"2974",0,1,42,1,0,"15"
"2978",0,0,47,0,0,"14"
"2983",1,1,32,1,1,"16"
"2987",0,0,65,0,0,"14"
"2990",1,1,24,1,1,"15"
"2990",1,1,24,1,1,"15"
"2994",0,1,26,1,0,"16"
"2994",0,1,26,1,0,"16"
"3026",1,1,38,1,0,"25"
"3029",1,1,40,1,0,"27"
"3064",1,1,40,0,1,"28"
"3066",0,1,39,1,0,"28"
"3067",1,1,42,0,1,"28"
"3070",0,1,32,1,0,"27"
"3077",0,1,60,0,0,"27"
"3081",0,0,30,0,0,"27"
"3081",0,0,30,0,0,"27"
"3082",0,1,74,0,0,"27"
"3089",0,1,70,0,0,"27"
"3092",0,1,33,0,1,"27"
"3093",0,1,39,1,1,"27"
"3102",0,0,67,0,0,"27"
"3110",0,1,65,0,0,"27"
"3127",1,1,49,0,1,"28"
"3127",1,1,49,0,1,"28"
"3128",0,0,29,0,1,"28"
"3140",0,0,38,1,0,"28"
"3144",1,1,31,1,0,"28"
"3151",0,1,50,0,0,"28"
"3152",0,1,27,1,0,"28"
"3153",0,1,74,0,0,"28"
"3157",1,1,19,1,0,"28"
"3158",0,1,41,1,0,"28"
"3161",1,1,20,1,0,"28"
"3162",0,1,37,0,1,"28"
"3168",1,1,19,1,0,"27"
"3169",1,1,25,1,1,"27"
"3176",0,0,21,1,0,"28"
"3178",0,0,75,1,0,"26"
"3179",0,1,NA,0,0,"28"
"3180",1,1,19,1,1,"28"
"3190",NA,1,60,0,NA,"25"
"3193",0,1,62,1,0,"27"
"3198",0,0,54,0,0,"27"
"3200",1,1,26,1,1,"27"
"3201",0,1,19,1,0,"27"
"3204",1,0,30,1,1,"27"
"3209",1,1,45,0,1,"27"
"3211",NA,1,33,1,NA,"25"
"3212",1,1,21,1,1,"27"
"3230",0,0,NA,0,0,"25"
"3230",0,0,NA,0,0,"25"
"3234",0,1,36,0,0,"28"
"3236",1,1,23,1,0,"28"
"3239",1,0,34,1,0,"28"
"3257",0,1,20,0,0,"27"
"3270",0,1,29,1,0,"27"
"3270",0,1,29,1,0,"27"
